Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium,Winner,PointDiff
2022,2022-02-26,Scotland,0,France,1,17,36,Murrayfield Stadium,France,19
2022,2022-02-26,England,0,Wales,1,23,19,Twickenham Stadium,England,4
2022,2022-02-27,Ireland,1,Italy,0,57,6,Aviva Stadium,Ireland,51
2022,2022-03-11,Wales,1,France,0,9,13,Millennium Stadium,France,4
2022,2022-03-12,Italy,0,Scotland,1,22,33,Stadio Olimpico,Scotland,11
2022,2022-03-12,England,0,Ireland,1,15,32,Twickenham Stadium,Ireland,17
2022,2022-03-19,Wales,1,Italy,0,21,22,Millennium Stadium,Italy,1
2022,2022-03-19,Ireland,1,Scotland,0,26,5,Aviva Stadium,Ireland,21
2022,2022-03-19,France,3,England,0,25,13,Stade de France,France,12
2023,2023-02-04,Wales,0,Ireland,1,10,34,Millennium Stadium,Ireland,24
2023,2023-02-04,England,1,Scotland,1,23,29,Twickenham Stadium,Scotland,6
2023,2023-02-05,Italy,1,France,1,24,29,Stadio Olimpico,France,5
2023,2023-02-11,Ireland,1,France,0,32,19,Aviva Stadium,Ireland,13
2023,2023-02-11,Scotland,1,Wales,0,35,7,Murrayfield Stadium,Scotland,28
2023,2023-02-12,England,1,Italy,0,31,14,Twickenham Stadium,England,17
2023,2023-02-25,Italy,0,Ireland,1,20,34,Stadio Olimpico,Ireland,14
2023,2023-02-25,Wales,0,England,0,10,20,Millennium Stadium,England,10
2023,2023-02-26,France,1,Scotland,0,32,21,Stade de France,France,11
2023,2023-03-11,Italy,0,Wales,1,17,29,Stadio Olimpico,Wales,12
2023,2023-03-11,England,0,France,1,10,53,Twickenham Stadium,France,43
2023,2023-03-12,Scotland,0,Ireland,0,7,22,Murrayfield Stadium,Ireland,15
2023,2023-03-18,Scotland,1,Italy,0,26,14,Murrayfield Stadium,Scotland,12
2023,2023-03-18,France,1,Wales,1,41,28,Stade de France,France,13
2023,2023-03-18,Ireland,4,England,0,29,16,Aviva Stadium,Ireland,13
2024,2024-02-02,France,0,Ireland,1,17,38,Orange Vélodrome,Ireland,21
2024,2024-02-03,Italy,1,England,0,24,27,Stadio Olimpico,England,3
2024,2024-02-03,Wales,2,Scotland,0,26,27,Principality Stadium,Scotland,1
